Name,Image,Bio
Brian Herbert,"https://columbus2020nasfic.org/assets/images/brian-herbert.jpeg","Brian Herbert, the son of famed science fiction author Frank Herbert, is the author of multiple New York Times bestsellers. He has won several literary honors and has been nominated for the highest awards in science fiction. In 2003, he published <em>Dreamer of Dune</em>, a moving biography of his father that was a Hugo Award finalist. His other acclaimed novels include <em>Sidney’s Comet</em>, <em>Sudanna Sudanna</em>, <em>The Race for God</em>, and <em>Man of Two Worlds</em> (written with Frank Herbert), in addition to the Hellhole trilogy and twelve Dune series novels coauthored with Kevin J. Anderson."
Kevin J. Anderson,"https://columbus2020nasfic.org/assets/images/kevin-j-anderson.jpeg","Kevin J. Anderson has published more than 165 books, 56 of which have been national or international bestsellers.  He has written numerous novels in the <em>Star Wars</em>, <em>X-Files</em>, and <em>Dune</em> universes, as well as steampunk fantasy novels <em>Clockwork Angels</em> and <em>Clockwork Lives</em>, written with legendary rock drummer Neil Peart. His original works include the <em>Saga of Seven Suns</em> series, the <em>Terra Incognita</em> fantasy trilogy, and his humorous horror series featuring Dan Shamble, Zombie PI. He has edited numerous anthologies, written comics and games. Anderson and his wife Rebecca Moesta are the publishers of WordFire Press. His most recent novels are <em>Stake</em>, <em>Kill Zone</em>, and <em>Spine of the Dragon</em>."
Stephanie Law,"https://columbus2020nasfic.org/assets/images/stephanie-law.jpeg","Stephanie Law is a multi-media artist and illustrator from California. Primarily working in watercolor, gold and silver leaf, and ink, she adds texture and dimension both within her pictures and in the frames of them. Stephanie has been a dancer for almost two decades, and she uses her experience of how the human body moves and emotes to create a bridge into her artwork, not only to depict humans, but also trees, other plants, insects, ephemeral guides and strange creatures. Early on, her career moved through the illustration and gaming world, but in recent decades she has focused more on her own body of work, gallery shows, and publications. She taught The Fantastic Workshop of Nashville, TN in 2016 and 2018, and won Best in Show at Dragoncon in 2015 for <em>When Flowers Dream</em>."
Christopher J. Garcia,"https://columbus2020nasfic.org/assets/images/christopher-j-garcia.jpeg","Christopher J Garcia is a writer, filmmaker, festival programmer,curator, historian, podcaster, and painter from Boulder Creek, CA. He’s won a couple of Hugos, has a couple of kids, and is an all-around enthusiast."
Marc Millis,"https://columbus2020nasfic.org/assets/images/marc-millis.jpeg","See <a href='https://www.youtube.com/watch?v=9doOLHeW8p4'>his TEDx Brussels talk “Building ‘Icarus’”</a>!"
Sue and Steve Francis,"https://columbus2020nasfic.org/assets/images/sue-and-steve-francis.jpg","Sue and Steve Francis contributed greatly to the long-running success of RiverCon in Louisville, Kentucky. They are also recognized for their fan writing, and were the Down Under Fan Fund (DUFF) delegates from North America to Australia in 2008."
Tom Smith,"https://columbus2020nasfic.org/assets/images/tom-smith.jpeg","For 35 years, Tom Smith has been the morel conches of filk – that is, he’s in the dark a lot and makes weird noises when you hold him to your ear. However, he does have two dozen albums, fourteen Pegasus Awards for excellence in filk, a spot in the Filk Hall of Fame, and a decent collection of movies, games, comics, and Lego, so we took pity and let him in. He’ll have at least two concerts this weekend, filled with ludicrous whimsy, dark romance, and multilingual puns. You have been warned."
Eric Flint,"https://columbus2020nasfic.org/assets/images/eric-flint.jpeg","Eric Flint’s writing career began with the science fiction novel <em>Mother of Demons</em>. With David Drake, he has collaborated on the six-volume <em>Belisarius</em> series, as well as a novel entitled <em>The Tyrant</em>. His alternate history novel <em>1632</em> was published in 2000, and has led to a long-running series with many novels and anthologies in print. In addition, he’s written a number of science fiction and fantasy novels. He now has more than sixty novels in print as well as many pieces of short fiction and dozens of anthologies which he’s edited."
Joe Siclari,"https://columbus2020nasfic.org/assets/images/joe-siclari.jpg",
Lizabee Gibson,"https://columbus2020nasfic.org/assets/images/lizabeegibson.jpg","A British folksinger, costumer, and student of history."
Mike Gibson,"https://columbus2020nasfic.org/assets/images/mike-gibson.jpg","A British chanteyman, session leader, SF fan, and raconteur."
Ace Tilton Ratcliff,"https://columbus2020nasfic.org/assets/images/ace-tiltonratcliff.jpg","Ace Tilton Ratcliff lives and works in south Florida. They made the move to freelance writer, artist, and disability consultant at Stay Weird, Be Kind Studios in 2017. They have bylines at Huffington Post, io9, PopSci, Fireside Fiction, and more. Their meatcage struggles with hypermobile Ehlers-Danlos Syndrome and other comorbidities. With their husband, they co-own Harper’s Promise, an in-home veterinary practice focusing on euthanasia. When not creating, they’re reading, and sometimes tweeting @mortuaryreport."
Ada Palmer,"https://columbus2020nasfic.org/assets/images/ada-palmer.jpg","Ada Palmer’s <em>Terra Ignota</em> series (Tor Books, starting with <em>Too Like the Lightning</em>) explores a future of borderless nations and globally commixing populations. She teaches history at the University of Chicago, studying the Renaissance, Enlightenment, heresy, atheism, radical thought, and censorship. She composes music including the Viking mythology cycle “Sundown: Whispers of Ragnarok,” and performs with the group Sassafrass. She studies anime/manga, especially Osamu Tezuka, post-WWII manga and feminist manga, and consults for anime and manga publishers. She blogs at <a href='http://www.exurbe.com/'>ExUrbe.com</a>."
Alaya Dawn Johnson,"https://columbus2020nasfic.org/assets/images/alaya-johnson.jpg","Alaya Dawn Johnson is the author of seven novels for adults and young adults. Her most recent novel for adults, <em>Trouble the Saints</em>, was released in July 2020 from Tor books. A short story collection, <em>Reconstruction</em>, is forthcoming in November 2020 from Small Beer Press. Her young adult novel <em>The Summer Prince</em> was longlisted for the National Book Award for Young People’s Literature, while her novel <em>Love Is the Drug</em> won the Andre Norton/Nebula Award for Middle Grade/Young Adult fiction. Her short stories have appeared in many magazines and anthologies, including Best American Science Fiction and Fantasy 2015, <em>A Phoenix First Must Burn</em>, <em>Feral Youth</em>, and <em>Zombies vs. Unicorns</em>. She lives in Mexico where she received a master’s degree with honors in Mesoamerican Studies at the Universidad Nacional Autónoma de México, for her thesis on pre-Columbian fermented food and its role in the religious-agricultural calendar."
Alec Nevala-Lee,"https://columbus2020nasfic.org/assets/images/alec-nevalalee.jpg","Alec Nevala-Lee was a 2019 Hugo and Locus Award finalist for <em>Astounding: John W. Campbell, Isaac Asimov, Robert A. Heinlein, L. Ron Hubbard</em>, <em>and the Golden Age of Science Fiction</em> (Dey Street Books / HarperCollins), which was named one of the best nonfiction books of the year by The Economist. Syndromes, an audio original collection of thirteen of his short stories from Analog, was released earlier this year by Recorded Books. He is currently at work on a biography of the architectural designer Buckminster Fuller, which is scheduled to be published by HarperCollins in 2021."
Aliette de Bodard,"https://columbus2020nasfic.org/assets/images/aliette-debodard.jpg","Aliette de Bodard lives and works in Paris. She has won three Nebula Awards, a Locus Award, a British Fantasy Award and four British Science Fiction Association Awards, and was a double Hugo finalist for 2019 (Best Series and Best Novella). Her most recent book is <em>Of Dragons, Feasts and Murders</em>, a fantasy of manners and murders set in an alternate 19th Century Vietnamese court (upcoming July 7th from JABberwocky Literary Agency, Inc.). Her short story collection <em>Of Wars, and Memories, and Starlight</em> is out from Subterranean Press. She lives in Paris."
Alison Scott,"https://columbus2020nasfic.org/assets/images/alison-scott.jpeg","Alison is a British fan of long standing who was this year’s Going-Under-Fan-Fund Delegate. GUFF exists to send fans from Europe to New Zealand and Australia (and vice versa). In the UK she has chaired the Eastercon twice and run several areas of UK Worldcons. She has twice won the Hugo for the co-edited fanzine Plokta. She’s a great fan of the social aspects of conventions and likes to stay up too late, hang out in the bar and make new friends. She runs a business selling nerdy and political shirts and badges."
Alma Alexander,"https://columbus2020nasfic.org/assets/images/alma-alexander.jpg","Alma Alexander is an internationally published novelist, short story writer and anthologist whose work spans more than two decades and stretches across all aspects of fantasy and science fiction. She lives in the cedar woods of the Pacific Northwest with her husband, two obligatory writer’s cats, and assorted visiting wildlife."
Amanda Makepeace,"https://columbus2020nasfic.org/assets/images/amanda-makepeace.jpg","Amanda Makepeace is a Chesley Award winning illustrator, working in both digital and traditional mediums. Through her art, she explores mythology, magical beings, our connection to the planet, and even distant worlds. Amanda’s art has appeared in ENnie award-winning games, in short fiction magazines, like <em>Amazing Stories</em> and <em>Fireside Fiction</em>, and on the covers of independent novels and anthologies. She is a regular at Fantasy and SciFi conventions in the southeast. When she’s not in the studio, she can be found reconnecting with nature and the woods that inspired her as a child."
Andrea Hairston,"https://columbus2020nasfic.org/assets/images/andrea-hairston.jpg","Andrea Hairston is author of <em>Will Do Magic For Small Change</em>, finalist for the Mythopoeic Award, Lambda Award, Tiptree Award, and a New York Times Editor’s pick. Other novels include: <em>Redwood</em> and <em>Wildfire</em>, a Tiptree and Carl Brandon Award winner, and <em>Mindscape</em>, winner of Carl Brandon Award. She has also published essays, plays, and short fiction and received grants from the NEA, Rockefeller Foundation, and Ford Foundation. In her spare time, Andrea is a Professor of Theatre and Africana Studies at Smith College. <em>Master of Poisons</em> will be out on Sept. 8, 2020 from Tor.com."
Anne Gray,"https://columbus2020nasfic.org/assets/images/anne-gray.jpg","On the good days, I dance. On the bad days, I do jigsaw puzzles. Sometimes I sing. Sometimes it’s the blues, sometimes it’s showtunes, folk rock, or children’s songs. Always, I read. For 10 years now, I’ve been reading up on the history of race issues in America. For 25 years I have run science fiction conventions. The latter lead to the former, after RaceFail ‘09 proved how much we smofs need to learn, and do better. I am a futurist, dedicated to positive, visionary change."
Ben Yalow,"https://columbus2020nasfic.org/assets/images/ben-yalow.jpg","Ben Yalow has attended about 800 cons, and worked on about a third of them, at positions from gopher to regional convention chair, and Worldcon Division Head/Chair staff, on multiple continents. He co-founded SMOFcon, to help conrunners interchange information with each other, and was the Fan GoH at Discon3 and at the San Diego NASFiC in 1990. He has edited four books for NESFA Press, which regularly publishes books by the Guests of Honor of Boskone in addition to reprinting the works of deserving classic SF writers."
Beth Meacham,"https://columbus2020nasfic.org/assets/images/beth-meacham.jpg","Beth Meacham has been a science fiction and fantasy editor for more than 35 years. She has worked for Ace Books, Berkeley, and Tor, where she was editor in chief from 1985 through 1989. She now works as an Executive Editor for Tor, from her home in Arizona. Among the authors Beth has worked with are Kevin J. Anderson, Orson Scott Card, Mary Robinette Kowal, Karl Schroeder, Spencer Ellsworth, Cecelia Holland, Jay Lake, Elizabeth Bear, Pat Murphy, Sarah Monette, Mike Resnick, Ken Scholes, Will Shetterly, John M. Ford, Michael Cassutt, Gordon R. Dickson, Greg Bear, Kim Stanley Robinson, Tim Powers, Mike Brotherton, William Gibson, David Brin, Pat Cadigan, Storm Constantine, Lisa Goldstein, Steven Gould, Randy Henderson, Nancy Kress, Melanie Rawn, Charles Sheffield, Judith Tarr, Jack Vance, Chelsea Quinn Yarbro and Jane Yolen."
Bogi Takács,"https://columbus2020nasfic.org/assets/images/bogi-takacs.png","Bogi Takács is a Hungarian Jewish agender trans person (e/em/eir/emself or they pronouns) and an immigrant to the US. E is a winner of the Lambda award for editing Transcendent 2: The Year’s Best Transgender Speculative Fiction, the Hugo award for Best Fan Writer, and a finalist for other awards. Eir debut poetry collection Algorithmic Shapeshifting and eir debut short story collection The Trans Space Octopus Congregation were both released last year. You can find Bogi talking about books at <a href='http://www.bogireadstheworld.com'>Bogi Reads the World</a> and on various social media as bogiperson."
Brandon Wilson,"https://columbus2020nasfic.org/assets/images/brandon-wilson.jpg","Wilson teaches Film Analysis for Filmmakers and Introduction to Editing courses at UCLA. He also teaches at Columbia College Hollywood and Long Beach Community College.  He blogs and has been a guest on several film oriented podcasts."
Caitlin Starling,"https://columbus2020nasfic.org/assets/images/caitlin-starling.jpg","Caitlin Starling is an award-winning writer of horror-tinged speculative fiction. Her novel <em>The Luminous Dead</em> won the LOHF Best Debut award, and was nominated for both a Locus and a Bram Stoker award. She has two gothic tales forthcoming - Yellow Jessamine (Neon Hemlock 2020) and The Death of Jane Lawrence (St Martin’s Press 2021) - and has a novella in <em>Vampire: The Masquerade: Walk Among Us</em>. Her nonfiction has appeared in Nightmare and Uncanny. Caitlin also works in narrative design, and has been paid to invent body parts."
Cat Rambo,"https://columbus2020nasfic.org/assets/images/cat-rambo.png","Cat Rambo lives, writes, and teaches somewhere in the Pacific Northwest. Their 200+ fiction publications include stories in Asimov’s, Clarkesworld Magazine, and <em>The Magazine of Fantasy and Science Fiction</em>. Their most recent works are Nebula Award winner <em>Carpe Glitter</em> (Meerkat Press) and on-going serial novella <em>Baby Driver</em>. Forthcoming are fantasy novel <em>Exiles of Tabat</em> (Wordfire Press, fall 2020), space opera <em>You Sexy Thing</em> (Tor Macmillan, 2021) and the conclusion to the Tabat Quartet, <em>Gods of Tabat</em> (Wordfire Press, 2021)."
Charles Payseur,"https://columbus2020nasfic.org/assets/images/charles-payseur.jpg","Charles Payseur is a reader, writer, and reviewer of speculative fiction. His work has appeared in <em>The Best American Science Fiction and Fantasy,</em> <em>Lightspeed Magazine</em>, <em>Beneath Ceaseless Skies</em>, and many more. A four time Hugo Award finalist, he spends his days in Eau Claire, Wisconsin, shoveling snow and being tolerated by his cats and husband."
Cheryl Morgan,"https://columbus2020nasfic.org/assets/images/cheryl-morgan.jpg","Cheryl Morgan is a writer, editor and owner of <a href='https://wizardstowerpress.com/' title='Wizard’s Tower Press'>Wizard’s Tower Press</a>. She has won four Hugo Awards. You can find her reviews in <a href='https://www.salonfutura.net/'>Salon Futura</a>. Cheryl has been a Guest of Honour at conventions and conferences in Finland, Croatia and Austria."
Chris M. Barkley,"https://columbus2020nasfic.org/assets/images/chris-barkley-1.jpg","Chris Barkley’s first sf convention was Midwestcon 27 in June 1976. Since then he as gone to nearly 200 cons, including 29 World Science Fiction Conventions. In his 44 years in fandom, he has been a convention worker/volunteer, a convention chair, (Cinclave in 1986), a professional bookseller, book collector, genre radio talk show host, a fan activist involved with the Worldcon Business Meeting, a tv and movie reviewer and currently, a columnist at large for the Hugo Award winning fanzine, <em>File 770 dot com</em>. He resides in Cincinnati, Ohio."
"Chris ""Silver Spook"" Miller","https://columbus2020nasfic.org/assets/images/chris-miller.jpg","Chris is a Native Hawaiian activist and game developer. He’s best known for <em>Neofeud</em>, a cyberpunk game about his experiences growing up in Hawaii’s ghetto, being a social worker &amp; STEM teacher for poor, homeless, refugees, POC kids in the slums of Hawaii that the tour buses avoid."
Christine Taylor-Butler,"https://columbus2020nasfic.org/assets/images/christine-taylorbutler.jpg","Christine Taylor-Butler is the author of more than 80 books for children. A graduate of MIT, she holds degrees in both Civil Engineering and Art &amp; Design. Her current passion project is <em>The Lost Tribes</em> series, illustrated by Patrick Arrasmith. Christine lives in Kansas City, MO with her husband, Ken."
C.L. Polk,"https://columbus2020nasfic.org/assets/images/cl-polk.jpg","C. L. Polk (she/her/they/them) is the author of the World Fantasy Award winning debut novel Witchmark, the first novel of the Kingston Cycle. Her newest novel, The Midnight Bargain, is upcoming in 2020 from Erehwon Books."
Cynthia Diamond,"https://columbus2020nasfic.org/assets/images/cynthia-diamond.jpg","Cynthia is an award-winning paranormal romance author that writes for sassy nerds with a sharp sense of humor. She writes magical worlds with snarky heroines and sexy heroes with a dash of “cinnamon roll”. When not telling tales, Cynthia is a geek, a costumer, and an amateur artist. She resides in sunny San Diego, California with her husband Max, two cats of varying intelligence, and a ton of goldfish."
Dan Tres Omi,"https://columbus2020nasfic.org/assets/images/dan-tresomi.jpg","Dan Tres Omi is an educator, Hip Hop diplomat, Capoeira instructor, and pod-caster out of Dayton, Ohio."
Danian Darrell Jerry,"https://columbus2020nasfic.org/assets/images/danian-jerry.jpg","Danian Darrell Jerry is a writer, teacher, and emcee and holds a Master of Fine Arts in Creative Writing. His stories engage the culture and music nourished by the Bluff City and the Mississippi Delta. He teaches literature and composition at the University of Memphis. He is fiction editor for <em>Obsidian: Literature and Arts in the African Diaspora</em>. Outside of class, he works on his first novel, <em>Son of the Iron Mic</em>. Danian has work forthcoming in the fall edition of Fireside Quarterly."
Daniel M. Kimmel,"https://columbus2020nasfic.org/assets/images/daniel-kimmel.jpg","Veteran film critic and author of humorous SF. Daniel was a Hugo Finalist for <em>Jar Jar Binks Must Die</em> and a Compton Crook finalist for <em>Shh! It’s a Secret</em>. He was the 2018 recipient of the Skylark Award, given by the New England Science fiction Association. His most recent novel is <em>Father of the Bride of Frankenstein</em>. Film columnist for <em>Space and Time</em> magazine."
dave ring,"https://columbus2020nasfic.org/assets/images/dave-ring.jpeg","dave ring is the chair of the OutWrite LGBTQ Book Festival in Washington, DC. He has stories featured or forthcoming in a number of publications, including <em>Fireside Fiction</em>, <em>GlitterShip</em>, and <em>A Punk Rock Future</em>. He is the publisher and managing editor of <a href='https://www.neonhemlock.com/' title='Neon Hemlock Press'>Neon Hemlock Press</a>, as well as the editor of <em>Broken Metropolis: Queer Tales of a City That Never Was</em> from Mason Jar Press."
Day Al-Mohamed,"https://columbus2020nasfic.org/assets/images/day-almohamed.jpg","Day Al-Mohamed is author of YA novels, <em>The Labyrinth’s Archivist</em> and <em>Baba Ali and the Clockwork Djinn</em>, and is a host on Idobi Radio’s “Geek Girl Riot”. In addition to fiction, she works in comics and film. She is a founding member of FWD-Doc (Documentary Filmmakers with Disabilities), a Docs in Progress Fellowship alumna and a graduate of the VONA/Voices Writing Workshop. Her award-winning film, <em>The Invalid Corps</em>, will screen on Maryland Public television this fall. When not creating, Al-Mohamed works as a policy advisor with the federal government. She lives in Washington DC with her wife and guide dog."
Doug Piero Carey,"https://columbus2020nasfic.org/assets/images/doug-pierocarey.jpg","Doug Piero Carey started reading SF in 1970. His first convention was Discon 2 in 1974. He joined Harry, the Canton, Ohio SF book club around 1981 and married another fan, Mary Piero, in 1983. Doug lives in Ohio and has continued to read SF, to go to cons and to Harry, and to remain happily married."
Eboni Dunbar,"https://columbus2020nasfic.org/assets/images/eboni-dunbar.jpg","Eboni J Dunbar (She/her) is a queer, black woman who writes queer and black speculative fiction. She resides in the San Francisco Bay Area with her partner. She received her BA from Macalester College in English and her MFA in Creative Writing from Mills College. She is a VONA and Voodoonauts Alum, a managing editor for <em>FIYAH Literary Magazine</em> and a freelance reviewer. Her work can be found in <em>FIYAH Literary Magazine</em>, <em>Drabblecast</em>, <em>Anathema: Spec from the margins</em> and <em>Nightlight Podcast</em>. She also has a forthcoming novella from Neon Hemlock, coming Fall 2020."
Eddie Louise,"https://columbus2020nasfic.org/assets/images/eddie-louise.jpg","Eddie Louise is a novelist and audio-drama/podcast creator who builds speculative fiction worlds on the page and for the ears. She writes the hit audio-drama, THE TALES OF SAGE &amp; SAVANT and the novels of the TRANSMIGRATIONS Series."
Eileen Gunn,"https://columbus2020nasfic.org/assets/images/eileen-gunn.jpg","Eileen Gunn writes short stories. Her fiction has received the Nebula Award in the US and the Sense of Gender Award in Japan, and been nominated for the Hugo, Philip K. Dick, and World Fantasy awards and short-listed for the James Tiptree, Jr. award (now the Otherwise Award). Gunn was editor/publisher of the influential Infinite Matrix webzine. She serves on the board of directors of the Locus Foundation, and served for 22 years on the board of the Clarion West Writers Workshop. She is the author of two story collections."
Elsa R. Sjunneson,"https://columbus2020nasfic.org/assets/images/elsa-sjunneson.jpg","Hugo, Aurora and BFA winning editor and author Elsa Sjunneson is a Deafblind hurricane in a vintage dress. She’s written Jessica Jones for Serial Box, fiction and non-fiction for Uncanny and opinions for CNN. She lives in the Pacific Northwest behind a fairy hedge."
Erin Underwood,"https://columbus2020nasfic.org/assets/images/erin-underwood.jpg","Erin Underwood is the chair of Boskone 58, which take place in February 2021. She is the editor for Underwords Press, a small press that specializes in young adult science fiction anthologies. Erin is also a science fiction, fantasy, and horror writer with her fiction appearing in various anthologies. Her non-fiction has appeared in the SFWA Bulletin and Amazing Stories Magazine. She is also the editor of several science fiction anthologies."
Errick Nunnally,"https://columbus2020nasfic.org/assets/images/errick-nunnally.jpg","Errick Nunnally​ was born and raised in Boston, Massachusetts, ​and ​served one tour in the Marine Corps before deciding art school was a safer pursuit. He enjoys art, comics, and genre novels. A graphic designer, he has trained in Krav Maga and Muay Thai kickboxing. He has appeared in several anthologies and is best described as “dark pulp.” His work can be found in FIYAH MAGAZINE, LAMPLIGHT, THE FINAL SUMMONS, PROTECTORS 2, NIGHTLIGHT PODCAST, and the novels, LIGHTNING WEARS A RED CAPE, BLOOD FOR THE SUN, and ALL THE DEAD MEN."
Farah Mendlesohn,"https://columbus2020nasfic.org/assets/images/farah-mendlesohn.jpg","Farah Mendlesohn won a Hugo with Edward James in 2005 for <em>The Cambridge Companion to Fantasy Literature</em>. She is also the author of <em>Diana Wynne Jones: The Fantastic Tradition and Children’s Literature, Rhetorics of Fantasy</em>, with Edward James, <em>A Short History of Fantasy, The Inter-galactic Playground: A Critical Study of Children’s and Teens’ Science Fiction</em>, with Michael M. Levy <em>Children’s Fantasy Literature: An Introduction</em>, which won the World Fantasy Award and the Mythopeic Award in 2017. In 2019 year she published, <em>The Pleasant Profession of Robert A. Heinlein</em>, and sometime at the end of 2020 her book on children’s literature, memory and the English Civil Wars will come out from Palgrave. She is now the only three time winner of the BSFA award for non-fiction and is now neck and neck with John Clute for Hugo nominations."
F. Paul Wilson,"https://columbus2020nasfic.org/assets/images/fpaulwilson-300dpi.jpg","F. Paul Wilson, a New Jersey resident, Grand Master Horror award-winner and Prometheus Award Lifetime Achievement winner, has written over 60 books spanning science fiction, horror, adventure, medical thrillers, young-adult, etc. – including the Prometheus Award (www.lfs.org) winners <em>Wheels within Wheels</em>, an sf murder mystery; <em>Sims</em>; <em>Healer</em>; and <em>An Enemy of the State</em>. Wilson, who sold his first story to Analog in 1970 and has 8 million books in U.S. print, is best known as creator of the urban mercenary Repairman Jack (featured in his latest novel <em>The Last Christmas</em>). Among his New York Times bestsellers: <em>The Keep</em> (also a 1983 Paramount film), <em>The Tomb</em>, <em>Harbingers</em>, <em>By the Sword</em>, <em>The Dark at the End</em>, and <em>Nightworld</em>."
Foz Meadows,"https://columbus2020nasfic.org/assets/images/foz-meadows-jpg.png","Foz Meadows is a queer Australian SFF author and critic based in California. She has won a Ditmar Award for Best FanWriter (2017), the Norma K. Hemming Award for her novella <em>Coral Bones</em> (2018),and a Hugo Award for Best Fan Writer (2019), and has also made the Hugo FanWriter shortlist a further three times. Her most recent novels, <em>An Accident of Stars</em> and <em>A Tyranny of Queens</em>, are a feminist portal fantasy duology published by Angry Robot."
Freya Marske,"https://columbus2020nasfic.org/assets/images/freya-marske.jpg","Freya Marske lives in Australia, where she is yet to be killed by any form of wildlife. She writes stories full of magic, blood, and as much kissing as she can get away with, and she co-hosts the Hugo Award nominated podcast Be the Serpent. Her hobbies include figure skating and discovering new art galleries, and she is on a quest to try all the gin in the world. Her debut novel, the queer historical fantasy A MARVELLOUS LIGHT, is forthcoming from Tor.Com Publishing in 2021."
Gadi Evron,"https://columbus2020nasfic.org/assets/images/gadi-evron.jpg","Gadi is former CEO and founder of Cymmetria [acquired], coordinates global response to cyber threats, chair of the World Economic Forum’s Cyber Risk Insight Council, and led the post-mortem for The First Internet War. In fandom, Gadi is the host of web show <em>Essence of Wonder</em>, and is Division Head of Events for Discon III. In his free time, he writes science fiction and fantasy, and teaches dance."
Gillian Polack,"https://columbus2020nasfic.org/assets/images/img_5799-2-philologa-majora.JPG","Dr Gillian Polack is a Jewish-Australian science fiction and fantasy writer, researcher and editor. She wrote the first Australian Jewish fantasy novel (The Wizardry of Jewish Women). Her writing was short listed for many awards, and won one, once: this was probably a mistake. Gillian is a Medievalist/ethnohistorian, currently working on how novels transmit culture. Her work on how writers use history in their fiction (History and Fiction) was a runner-up for an award but will be out in paperback soon anyway. Her hobbies include researching historical foodways and reading. She has a collection of select and very attractive fans."
Isabel Schechter,"https://columbus2020nasfic.org/assets/images/isabel-schechter.jpg","Isabel is also an active library supporter and has served on the boards of several library-related organizations."
Jamar Nicholas,"https://columbus2020nasfic.org/assets/images/jamar-nicholas.jpg","Jamar Nicholas is an award-winning, Philadelphia-based artist and educator, dedicating his career to helping young people realize the power of cartooning. He is widely-known for adapting and illustrating Geoffrey Canada’s <em>Fist Stick Knife Gun</em> and creating <em>Leon: Protector of the Playground</em>, which won the Dwayne McDuffie Award for Diversity in 2018. He is also a writer and columnist for <em>DRAW! Magazine</em>, the How-To source for comic and animation professionals, as well as co-host of the Pencil To Pencil Podcast with comics legends Mike Manley and Bret Blevins."
J. Holtham,"https://columbus2020nasfic.org/assets/images/j-holtham.jpg","J. HOLTHAM is a screenwriter, semi-retired playwright and blogger. TV credits: PITCH (Fox), MARVEL’S CLOAK &amp; DAGGER (Freeform), MARVEL’S JESSICA JONES (Netflix), SUPERGIRL (CW). He was a 2016 Humanitas New Voices Fellow. His screenplay <em>Killers Anonymous</em> was a finalist for the 2014 PAGE Screenwriting Award and the 2014 Final Draft Big Break Contest, as well as a finalist for the Writers Store’s Industry Insider Contest. His screenplay <em>Hunter Lake</em> was featured on The Black List website and was a semi-finalist for the 2015 Blue Cat Screenplay Contest. He is a proud product of public education."
Jason Sanford,"https://columbus2020nasfic.org/assets/images/jason-sanford.jpg","Jason Sanford is a two-time finalist for the Nebula Award and has published more than a dozen stories in the British SF magazine Interzone, which also devoted a special issue to his fiction. In addition he has published numerous stories in magazines such as Asimov’s Science Fiction, Analog, InterGalactic Medicine Show, Beneath Ceaseless Skies, and other places along with appearances in multiple “year’s best” anthologies and other books including <em>The New Voices of Science Fiction</em>, edited by Hannu Rajaniemi and Jacob Weisman. His fiction has been translated into nearly a dozen languages including Chinese, Spanish, French, Russian, Polish, and Czech. Born and raised in the American South, Jason currently works in the media industry in the Midwestern United States. His previous experience includes work as an archaeologist and as a Peace Corps Volunteer."
Jeannette Ng,"https://columbus2020nasfic.org/assets/images/jeannette-ng.jpg","Jeannette Ng is originally from Hong Kong but now lives in Durham, UK. Her MA in Medieval and Renaissance Studies fed into an interest in medieval and missionary theology, which in turn spawned her love for writing gothic fantasy with a theological twist. She runs live roleplay games and is active within the costuming community, running a popular blog. She has also won the Sydney J. Bounds Award for Best Newcomer at the British Fantasy Awards."
