Name,Image,Bio
Jennifer Blackstream,"https://columbus2020nasfic.org/assets/images/jennifer-blackstream.jpg","Jennifer Blackstream is a USA Today bestselling author of urban fantasy and paranormal romance. She is amazed and grateful to have made a writing career out of a Master’s degree in Psychology, hours of couch-detecting watching Miss Fisher’s Murder Mysteries, and endless research into mythology and fairy tales."
Jeremy Holcomb,"https://columbus2020nasfic.org/assets/images/jeremy-holcomb.png","Jeremy Holcomb is a game system designer focusing on board, card and collectable card games. He has designed and published over 20 board games, including <a href='https://www.catalystgamelabs.com/casual-games/the-duke/'>The Duke</a> (Catalyst Games), <a href='https://boardgamegeek.com/image/398753/timestreams-deck-1-stone-age-vs-future-tech'>Timestreams</a> (Bucephalus Games), and <a href='https://boardgamegeek.com/boardgame/14038/anachronism'>Anachronism</a> (TriKing Games). Holcomb’s <a href='https://dev1.atlas-games.com/product_tables/AG2903/'>The White Box</a> (Atlas Games) provides a tool kit for new designers looking into making board games, and he has been teaching game design for over a decade via the ASUW experimental college and DigiPen Institute of Technology, where he now serves as the program director for the Bachelor of Arts in Game Design program. His personal quest is to play every game that exists at least once."
Jim Beall,,"Jim Beall (BS-Math, MBA, PE) has been a nuclear engineer for over 40 years, a war gamer for over 50, and an avid reader of science fiction for even longer. He began as a nuclear engineering officer aboard USS Long Beach (CGN-9). Civilian experience includes design, construction, inspection, enforcement, and assessment with a nuclear utility, an architect engineering firm, and the US Nuclear Regulatory Commission. Coauthor of Journal of the British Interplanetary Society paper, “Ecological Engineering Considerations for ISU’s Worldship Project.” Baen Books published eight of his non-fiction articles, including “Our Worldship Broke!” anthologized in <em>Stellaris: People of the Stars</em>."
Jim C. Hines,"https://columbus2020nasfic.org/assets/images/jim-hines.jpg","Jim C. Hines is the author of the <em>Magic ex Libris</em> series, the <em>Princess</em> series of fairy tale retellings, the humorous <em>Goblin Quest</em> trilogy, and the <em>Fable Legends</em> tie-in <em>Blood of Heroes</em>. His latest novel is <em>Terminal Uprising</em>, book two in the humorous science fiction <em>Janitors of the Post-Apocalypse</em> trilogy. He’s an active blogger, and won the 2012 Hugo Award for Best Fan Writer. He lives in mid-Michigan with his family."
Joel Zakem,"https://columbus2020nasfic.org/assets/images/joel-zakem.jpg","Joel Zakem attended his first SF con in 1968 and has been attending (and occasionally working on cons) ever since."
John Medaille,"https://columbus2020nasfic.org/assets/images/john-medaille.jpg","John is a science fiction and horror author with over thirty publishing credits in small print journals and podcasts, including Pseudopod, EscapePod, The Three-Lobed Burning Eye and The Red Penny Papers. John has a short fiction podcast called Tripleplus Ungood, available on iTunes and Spotify."
John Wiswell,"https://columbus2020nasfic.org/assets/images/john-wiswell.jpg","John (@Wiswell) is a disabled writer who lives where New York keeps all its trees. He has been published in Uncanny Magazine, Nature Magazine, and Fireside Magazine, among others."
Jordan Kurella,"https://columbus2020nasfic.org/assets/images/jordan-kurella.jpg","Jordan Kurella is a queer and disabled author who has lived all over the world (including Moscow and Manhattan). In their past lives, they were a barista, radio DJ, and social worker. Their work has been featured in Apex, Beneath Ceaseless Skies, and Strange Horizons Magazines."
Jude-Marie Green,"https://columbus2020nasfic.org/assets/images/judemarie-green.jpg","Jude-Marie Green writes short fiction and was published in Daily Science Fiction, The Colored Lens, and Toasted Cake this past year. She attended Clarion West in 2010 and won the Speculative Literature Foundation’s Older Writer’s Grant. She lives in Southern California."
Julia Rios,"https://columbus2020nasfic.org/assets/images/julia-rios.jpg","Julia Rios is a queer, Latinx writer, editor, podcaster, and narrator whose writing has appeared in Latin American Literature Today, Lightspeed, and Goblin Fruit, among other places. Their editing work has won multiple awards including the Hugo Award. Julia is a co-host of <em>This is Why We’re Like This</em>, a podcast about how the movies we watch in childhood shape our lives, for better or for worse. They’ve narrated stories for Escape Pod, Podcastle, Pseudopod, and Cast of Wonders."
Julie Washington,"https://columbus2020nasfic.org/assets/images/julie-washington.jpg","Julie is the former editor and founder of the newszine <em>Cleveland Ansible</em>, and a Clarion graduate. She has written numerous interviews and reviews of SF authors and movies for the Cleveland Plain Dealer newspaper. She helped organize the Masquerade Contest at Marcon for two years. She is an active member of the Society for Creative Anachronism. Currently Julie lives in Cleveland with her husband, two cats, dragons, piles of fabric and many books."
Kathryn Sullivan,"https://columbus2020nasfic.org/assets/images/kathryn-sullivan.jpg","Kathryn Sullivan writes young adult science fiction and fantasy, including fantasy novel <em>The Crystal Throne</em> and short story collection <em>Agents</em>, <em>Adepts</em>, &amp; <em>Apprentices</em>. She has essays in the Hugo Award winning <em>Chicks Dig Time Lords</em> and in <em>Children Of Time: Companions Of Doctor Who</em> and <em>Outside In</em>. She is owned by a large cockatoo, who graciously allows her to write about other animals, as well as birdlike aliens. Kathryn lives in Winona, MN, where the river bluffs along the Mississippi River double as cliffs on alien planets or the deep mysterious forests in a magical world."
L.D. Lewis,"https://columbus2020nasfic.org/assets/images/ld-lewis.jpg","L.D. Lewis is an award-winning SF/F writer and editor, and serves as a founding creator, Art Director, and Project Manager for the World Fantasy Award-winning and Hugo Award-nominated <em>FIYAH Literary Magazine</em>. She also serves as Grant Administrator for the Speculative Literature Foundation and as a researcher for the LeVar Burton Reads podcast, and Director of FIYAHCON. She is the author of <em>A Ruin of Shadows</em> (Dancing Star Press, 2018) and her published short fiction includes appearances in FIYAH, PodCastle, Strange Horizons, Anathema: Spec from the Margins, and Fireside Magazine, among others. She lives in Georgia with her coffee habit and an impressive Funko Pop! collection."
Laurence Raphael Brothers,"https://columbus2020nasfic.org/assets/images/laurence-brothers.jpg","Laurence Raphael Brothers is a writer and a technologist with 5 patents and a background in AI and Internet R&amp;D. More than 30 of his short stories have appeared in magazines such as <em>Nature</em>, <em>PodCastle</em>, <em>the New Haven Review</em>, and <em>Galaxy’s Edge</em>. His WWI-era fantasy novel <em>Twilight Patrol</em> and his romantic noir urban fantasy novella <em>The Demons of Wall Street</em> were both just recently published. Follow him on twitter: @lbrothers or visit <a href='https://laurencebrothers.com/bibliography'>his bibliography</a> for more stories that can be read or listened to online. Pronouns: he/him."
Leigh Harlen,"https://columbus2020nasfic.org/assets/images/leigh-harlen.jpg","Leigh Harlen is a queer, non-binary writer of dark leaning speculative fiction. They live and work in Seattle. Their non-writing hobbies include petting strangers’ dogs and enthusing about how awesome bats are."
Leonard Richardson,"https://columbus2020nasfic.org/assets/images/leonard-richardson.jpg","Leonard Richardson is a software developer for the New York Public Library, and the author of two novels, <em>Constellation Games</em> and <em>Situation Normal</em> (forthcoming)."
Lucy A. Snyder,"https://columbus2020nasfic.org/assets/images/lucy-snyder.jpg","Lucy A. Snyder is the Shirley Jackson Award-nominated and five-time Bram Stoker Award-winning author of 14 books and over 100 published short stories. Her most recent books are the collection Halloween Season and the forthcoming novel The Girl With the Star-Stained Soul. Her writing has appeared in publications such as Asimov’s Science Fiction, Apex Magazine, Nightmare Magazine, Pseudopod, Strange Horizons, and Best Horror of the Year. She lives in Columbus, Ohio."
Malka Older,"https://columbus2020nasfic.org/assets/images/malka-older.jpg","Malka Older is a writer, aid worker, and sociologist. Her science-fiction political thriller <em>Infomocracy</em> was named one of the best books of 2016 by Kirkus, Book Riot, and the Washington Post. She is the creator of the serial <em>Ninth Step Station</em>, currently running on Serial Box, and her short story collection <em>And Other Disasters</em> came out in November 2019. She is a Faculty Associate at Arizona State University’s School for the Future of Innovation in Society and her opinions can be found in The New York Times, The Nation, Foreign Policy, and NBC THINK, among other places."
Mari Ness,"https://columbus2020nasfic.org/assets/images/mari-ness.jpg","Mari Ness has published poetry and fiction in Tor.com, Clarkesworld, Lightspeed, Uncanny, Nightmare, Fireside, Strange Horizons, Diabolical Plots, Apex and Fantasy. For more, see her infrequently updated website at marikness.wordpress.com or follow her on Twitter @mari_ness"
Marieke Nijkamp,"https://columbus2020nasfic.org/assets/images/marieke-nijkamp.jpg","Marieke Nijkamp is a #1 New York Times bestselling author of YA novels, graphic novels, and comics, including This Is Where It Ends, Even If We Break, and The Oracle Code. Their short stories can be found in several anthologies. Marieke is a storyteller, dreamer, globe-trotter, and geek."
Mary Anne Mohanraj,"https://columbus2020nasfic.org/assets/images/mary-anne-mohanraj.jpg","Mary Anne Mohanraj is author of A Feast of Serendib, Bodies in Motion, The Stars Change, and twelve other titles. Other recent publications include stories for George R.R. Martin’s Wild Cards series, Perennial: A Garden Romance (Tincture), stories at Clarkesworld, Asimov’s, and Lightspeed, and an essay in Roxane Gay’s Unruly Bodies. Mohanraj founded Hugo-nominated and World Fantasy Award-winning speculative literature magazine Strange Horizons, and serves as Executive Director of both DesiLit (desilit.org) and the Speculative Literature Foundation (speclit.org). She is Clinical Associate Professor of fiction and literature at the University of Illinois at Chicago."
Michael Grossberg,"https://columbus2020nasfic.org/assets/images/michael-grossberg.jpg","Michael Grossberg co-founded the Libertarian Futurist Society (lfs.org), established in 1981 to sustain the Prometheus Awards, and chairs the Prometheus Awards Best Novel Finalist Judging Committee, which selects annual slates of finalists. A theater critic and arts reporter since the early 1980s, Michael has contributed to six books, including critical essays for the annual Best Plays Theatre Yearbook, and an essay/afterword for the first paperback edition of J. Neil Schulman’s Prometheus-winning novel The Rainbow Cadenza; written reviews for Reason magazine; wrote a regional column for years with Backstage, the national performing-arts weekly; and helped lead for two decades the American Theatre Critics Association and administer its national new-play and regional-Tony awards. Michael won the 2019 Society of Professional Journalists awards for Best Critic in Ohio (also won in 2015) and Best Arts Reporting (won seven times)."
Michael R. Underwood,"https://columbus2020nasfic.org/assets/images/mike-underwood.jpg","Michael R. Underwood is an author, podcaster, and publishing professional. His series include the <em>Ree Reyes Geekomancy</em> books, the Stabby Award finalist <em>Genrenauts</em> series, <em>Born to the Blade</em>, and <em>Annihilation Aria</em>. He’s been a bookseller, sales representative, and was the North American Sales &amp; Marketing Manager for Angry Robot Books. He is also a co-host of Speculate! and a guest host on the Hugo Award-finalist The Skiffy and Fanty Show."
Mike Chen,"https://columbus2020nasfic.org/assets/images/mike-chen.jpg","Mike Chen is the author of <em>Here And Now And Then</em> (a finalist for Goodreads Choice - Best Sci-Fi, CALIBA Golden Poppy, and the Compton Crook Award) and <em>A Beginning At The End</em> (“a brilliant, fragile path through the darkness” – Library Journal). His short fiction is featured in <em>Star Wars: From A Certain Point Of View – The Empire Strikes Back</em>, and he has covered geek culture for sites such as Tor.com, The Mary Sue, and StarTrek.com. In a previous life, he covered the NHL for Fox Sports, SB Nation, and other outlets. A member of SFWA, Mike lives in the Bay Area with his wife, daughter, and rescue animals."
Misha Stone,"https://columbus2020nasfic.org/assets/images/misha-stone.jpg","Misha Stone (she/her) is a Reader Services Librarian in Seattle. She serves on the Clarion West Writers Workshop board. Misha reads science fiction, fantasy, lit fic, and romance, and is a karaoke enthusiast."
Dr. Nakeema Stefflbauer,"https://columbus2020nasfic.org/assets/images/nakeema-stefflbauer.jpg","Dr. Nakeema Stefflbauer is founder and CEO of the Berlin, Germany NGO FrauenLoop.org. A lifelong sci-fi and speculative fiction fan, she has been heavily influenced by the work of Octavia Butler and N.K. Jemisin, among others. Dr. Stefflbauer holds MA and PhD degrees from Harvard University. Her background in research, digital transformation and entrepreneurship have made her a sought-after international speaker on tech access and the impact of artificial intelligence on marginalised communities."
Neil Clarke,"https://columbus2020nasfic.org/assets/images/neil-clarke.jpg","Neil Clarke (neil-clarke.com) is the editor of the Hugo and World Fantasy Award-winning Clarkesworld Magazine (clarkesworldmagazine.com) and several anthologies, including the Best Science Fiction of the Year series. He has been a finalist for the Hugo Award for Best Editor (Short Form) eight times, won the Chesley Award for Best Art Director three times, and received the Solstice Award from SFWA in 2019. He currently lives in NJ with his wife and two sons."
Nicholas Whyte,"https://columbus2020nasfic.org/assets/images/nicholas-whyte.jpg","By day, Nicholas Whyte is a public affairs consultant in Brussels, who advised the last three countries to become independent. A huge Doctor Who fan, he has been bookblogging since 2003."
Nino Cipri,"https://columbus2020nasfic.org/assets/images/nino-cipri.jpg","Nino Cipri is a queer and trans/nonbinary writer, editor, and educator. Nino’s story collection HOMESICK won the Dzanc Short Fiction Collection Prize, and was nominated for the Shirley Jackson and World Fantasy Awards. Their novella FINNA — about queer heartbreak, working retail, and wormholes — was published by Tor.com in 2020, with a sequel slated for publication in 2021. A multidisciplinary artist, Nino has also written plays, screenplays, and radio features; performed as a dancer, actor, and puppeteer; and worked as a stagehand, bookseller, bike mechanic, and labor organizer. One time, an angry person on the internet called Nino a verbal terrorist, which was pretty funny."
Oghenechovwe Donald Ekpeki,"https://columbus2020nasfic.org/assets/images/oghenechovwe-ekpeki.jpg","Oghenechovwe Donald Ekpeki is a Nigerian writer and editor. He has been awarded an honourable mention in the L. Ron Hubbard Writers of the Future Contest, twice. His short story “The Witching Hour,” made the Tangent Online Recommended Reading List and won the Nommo award for best short story by an African. He has been published in <em>Selene Quarterly</em>, <em>Strange Horizons</em>, <em>Tor</em>, and other venues, and has works forthcoming in several journals, magazines and anthologies. He has guest edited and co-edited several publications, including <em>The Selene Quarterly</em>, <em>Invictus Quarterly</em> and <em>Dominion: an Anthology of Speculative Fiction from Africa and the African Diaspora</em>. He is a member of the African Speculative Fiction Society, Codex, the HWA, the BSFA, and the SFWA."
Pablo Defendini,"https://columbus2020nasfic.org/assets/images/pablo-defendini.jpg","Pablo Defendini is the Publisher and Art Director of Fireside Magazine. He is also a designer and developer for hire, with a focus on editorial design for digital media. He helped launch Tor.com, before moving on to work for companies that sit in the overlap between publishing and technology, like Open Road Media and O’Reilly. Pablo was born and raised in San Juan, Puerto Rico, lives in New York City, and works with people all over the world."
Phoebe Barton,"https://columbus2020nasfic.org/assets/images/phoebe-barton.jpg","Phoebe Barton is a queer trans science fiction writer. Her short fiction has appeared in venues such as Analog Science Fiction and Fact, On Spec, and Kaleidotrope, anthologies from Bundoran Press and Alliteration Ink, and she is writing the interactive fiction game The Luminous Underground for Choice of Games. She serves as an Associate Editor at Escape Pod, and she is a 2019 graduate of the Clarion West Writers Workshop, and lives with a robot in the sky above Toronto."
Phoebe North,"https://columbus2020nasfic.org/assets/images/phoebe-north.jpg","Phoebe North, a graduate of the University of Florida’s MFA program in poetry, is the critically acclaimed author of Starglass and Starbreak. A new novel will be forthcoming from HarperCollins/Balzer + Bray in 2021. North was a finalist in 2018 with the Sustainable Arts Foundation. Other short fiction, critical work, and poetry has appeared or is forthcoming with Analog, Daily Science Fiction, Flash Fiction Magazine, the YA Review Network, Umbrella Journal, District Lit, 2river View and Strange Horizons (among others), and in anthologies such as the 2015 Young Explorer’s Adventure Guide, Among the Shadows and Speculative Fiction 2015. North was named a 2013 Flying Start from Publisher’s Weekly. Writing from a home in the Hudson Valley, they also enjoy gardening, spending time with family, listening to obscure music on outdated formats, and fighting off the fear of death by curating an astonishingly comprehensive social media presence."
Premee Mohamed,"https://columbus2020nasfic.org/assets/images/premee-mohamed.png","Premee Mohamed is an Indo-Caribbean scientist and speculative fiction author based in Edmonton, Alberta. Her short fiction has appeared in a variety of venues, including Analog, Escape Pod, Augur, and Nightmare Magazine. Her debut novel, ‘Beneath the Rising,’ is out now from Solaris Books, with the sequel due out in 2021."
Raven Oak,"https://columbus2020nasfic.org/assets/images/raven-oak.jpg","Award-winning speculative fiction author Raven Oak is best known for Amaskan’s Blood, Class-M Exile, and a dozen or so short stories. She’s even published on the moon! Raven spent most of her K-12 education doodling 500 page monstrosities that are forever locked away in a filing cabinet. She’s a geeky, disabled ENBY who enjoys getting her game on or staring at the ocean. She lives in Seattle with her husband, and their three kitties who enjoy lounging across the keyboard when writing deadlines approach. Her hair color changes as often as this bio."
Raymond VanTilburg,"https://columbus2020nasfic.org/assets/images/ray-vantilburg.jpg","Being a self-taught artist who started creating fantastical images when I was old enough to pick up a crayon. I began selling paintings and drawings in the science fiction market at my first convention in 1983. The next year I began selling my art on t-shirts, at Marcon in Columbus, OH. Occasionally showing originals at Art Shows. Over the last several years I’ve showing and selling originals in Science Fiction convention art shows at any that I attend."
Sally Headford,,"Sally Headford has been a long term member of her local Toronto area filk community for over 25 years. She helps moderate FilkBites, a regular online house filk and, prior to COVID, has worked on the Con-Com of over twenty FilKONtario."
Sarah Loch,"https://columbus2020nasfic.org/assets/images/sarah-loch.jpg","Sarah Loch (she/her) has been making up stories since childhood, first for her own amusement and then to entertain her younger siblings and cousins. She is a young adult librarian and an enrolled citizen of the Cherokee Nation of Oklahoma. Sarah has pseudonymously authored and self-published several queer contemporary and paranormal romances while working to write and revise her first YA novel."
Sheree Renée Thomas,"https://columbus2020nasfic.org/assets/images/shereerenee-thomas.jpg","Sheree Renée Thomas is the author of NINE BAR BLUES: Stories from an Ancient Future (Third Man Books, 2020), <em>Sleeping Under the Tree of Life</em> (Aqueduct Press, 2016), and <em>Shotgun Lullabies: Stories and Poems</em> (Aqueduct, 2011). Her widely anthologized work appears in THE BIG BOOK OF MODERN FANTASY edited by Ann &amp; Jeff VanderMeer (Vintage). Her essays appear in The New York Times and other publications. Her DARK MATTER anthologies were honored with two World Fantasy Awards and Sheree’s writing has been supported by fellowships from the Millay Colony of the Arts, Bread Loaf Environmental, NYFA, VCCA, and Cave Canem. She lives in Memphis, near a mighty river and a pyramid."
Sherwood Smith,"https://columbus2020nasfic.org/assets/images/sherwood-smith.jpg","Sherwood Smith writes fantasy, science fiction, and historical novels for young and old."
Silvia Moreno-Garcia,"https://columbus2020nasfic.org/assets/images/silvia-morenogarcia.jpg","Silvia Moreno-Garcia is the best-selling author of the novels <em>Mexican Gothic</em>, <em>Gods of Jade and Shadow</em>, <em>Certain Dark Things</em>, <em>Untamed Shore</em>, and a bunch of other books. She has also edited several anthologies, including the World Fantasy Award-winning <em>She Walks in Shadows</em> (a.k.a. Cthulhu’s Daughters)."
Stephen Leigh,"https://columbus2020nasfic.org/assets/images/stephen-leigh.jpg","Steve has published thirty-one novels and over sixty short stories, both under his own name and the pen name S.L. Farrell. His most recent novel is A RISING MOON, a sequel to A FADING SUN (DAW Books/Penguin, November 2018.) He has a new science fiction novel, AMID THE CROWDED STARS, to be published by DAW Books in February 2021. Steve’s work has been nominated for and won awards within the sf/fantasy genre. He’s also a frequent contributor to George RR Martin’s WILD CARDS series."
Steven Gould,"https://columbus2020nasfic.org/assets/images/steven-gould.jpg","Steven Gould is the author of over ten novels from Tor Books. JUMPER, his first novel, was made into the 2008 motion picture starring Hayden Christensen, Rachel Bilson, Samuel R. Jackson, and Jamie Bell. IMPULSE, the third novel in the JUMPER series, is the source material for the YouTube Originals television series of the same name starring Maddie Hasson, Sarah Desjardins, Enuka Okuma, and Missy Pyle. Season One and Two are is availble now. Steven was President of SFWA from 2013-2015."
Steven H Silver,"https://columbus2020nasfic.org/assets/images/steven-silver.jpg","Steven H Silver is a seventeen-time Hugo Award nominee and was the publisher of the Hugo-nominated fanzine Argentus as well as the editor and publisher of ISFiC Press for 8 years. He has also edited books for DAW, NESFA Press, and ZNB Books. He began publishing short fiction in 2008, his most recently published story is “A Letter Home,” his most recent book is After Hastings. In 1995, he created the Sidewise Award for Alternate History."
Sumana (brainwane) Harihareswara,"https://columbus2020nasfic.org/assets/images/sumana-harihareswara.jpg","Sumana Harihareswara is a NYC-based programmer, manager, and mentor who coedited, with Leonard Richardson, the free, Creative Commons-licensed anthology <em>Thoughtcrime Experiments</em> in 2009. She’s written a weekly newspaper column, taught and performed stand-up comedy, blogged at GeekFeminism.org, made fanvids, and worked on open source software projects, including the software behind Wikipedia. Currently she’s focusing on her new company Changeset Consulting (short-term, targeted project management for open source and the companies that depend on it). Since mid-2017 she has served on the Otherwise Award’s board."
Tessa McFionn,"https://columbus2020nasfic.org/assets/images/tessa-mcfionn.jpg","Tessa McFionn has always had a love of all things unreal. Growing up reading Tolkien, Heinlein, and comic books, playing D&amp;D, and watching Thundarr the Barbarian on Saturday mornings, she was immersed in worlds of magic. When her mother introduced her to <em>Dune</em> and <em>An Interview with a Vampire</em>, she was hooked on romance in speculative fiction, and after discovering Sherrilyn Kenyon, she realized love can share center stage in the story. With an award-winning paranormal romance and a new sci-fi romance series out in the world, she continues to encourage all to believe in magic."
Tobias S. Buckell,"https://columbus2020nasfic.org/assets/images/tobias-buckell.jpg","Born in the Caribbean, Tobias S. Buckell is a New York Times Bestselling and World Fantasy Award winning author. His novels and almost one hundred stories have been translated into nineteen different languages. He has been nominated for the Hugo Award, Nebula Award, World Fantasy Award, and Astounding Award for Best New Science Fiction Author. He currently lives in Ohio."
Tom Jackson,"https://columbus2020nasfic.org/assets/images/tom-jackson.jpg","Tom Jackson, an Ohio resident, is a newspaper reporter for The Sandusky Register who has also worked as a reporter in Cleveland, Ohio, and in Oklahoma. He writes a blog, RAWIllumination.net, devoted to writers Robert Anton Wilson and Robert Shea (Prometheus Hall of Fame winners for _The Illuminatus_trilogy). He has been active in fandom for years, contributing to fanzines, attending conventions and participating in the apas APA-50 and FAPA. He is a member of the board of the Libertarian Futurist Society (lfs.org), which presents the Prometheus Award, and serves as a judge on the Prometheus Award nominating committee."
Valerie Estelle Frankel,"https://columbus2020nasfic.org/assets/images/valerie-frankel.jpeg","Valerie Estelle Frankel is the author of 80 pop culture books, including <em>Hunting for Meaning in The Mandalorian; Inside the Captain Marvel Film; Star Wars Meets the Eras of Feminism</em>; and <em>Who Tells Your Story? History, Pop Culture, and Hidden Meanings in Hamilton</em>. Others focus on women’s roles in fiction, from her heroine’s journey guides <em>From Girl to Goddess</em> and <em>Buffy and the Heroine’s Journey</em> to books like <em>Superheroines and the Epic Journey</em> and <em>The Many Faces of Katniss Everdeen</em>. Once a lecturer at San Jose State University, she now teaches at Mission College and San Jose City College."
Valerie Valdes,"https://columbus2020nasfic.org/assets/images/valerie-valdes.png","Valerie Valdes’s work has been featured in Uncanny Magazine and Nightmare Magazine. Her debut novel <em>Chilling Effect</em> was published by Harper Voyager in September 2019 and Orbit UK in February 2020, with starred reviews in Kirkus Reviews and Library Journal. It was also named one of Library Journal’s best SF/fantasy novels of 2019. The sequel, <em>Prime Deceptions,</em> is forthcoming in September 2020."
Valjeanne Jeffers,"https://columbus2020nasfic.org/assets/images/valjeanne-jeffers-1.jpg","Valjeanne Jeffers is a speculative fiction writer, a Spelman College graduate, and a member of the Horror Writers Association and the Carolina African America Writers’ Collective. She is the author of nine books, including her <em>Immortal</em> and her <em>Mona Livelong: Paranormal Detective</em> series. Valjeanne has been published in numerous anthologies including: <em>Steamfunk!</em>; <em>The Ringing Ear</em>; <em>Luminescent Threads: Connections to Octavia E. Butler</em>; <em>Fitting In: Historical Accounts of Paranormal Subcultures</em>; <em>Sycorax’s Daughters</em>; <em>Black Magic Women</em>, <em>The Bright Empire</em>, and, most recently, <em>All the Songs We Sing</em>, and <em>Bledrotica Volume I</em>."
Victor Raymond,"https://columbus2020nasfic.org/assets/images/victor-raymond.jpg","Victor Raymond is a writer, game designer, and activist, and has a PhD in Sociology with a graduate concentration in Women’s Studies. He is bisexual and has been recognized for his LGBTQ+ activism as an invited guest to the White House in 2014, 2015, and 2016. He is also biracial, a member of the Rosebud Sioux Tribe, and a founding member of the Carl Brandon Society. He has helped organize conventions including Minicon, WisCon, MBLGTACC, and the SFRA Annual Conference. He resides in Wisconsin with his partner, adopted kid, and two cats."
Vikram Paralkar,"https://columbus2020nasfic.org/assets/images/vikram-paralkar.jpg","Vikram Paralkar was born and raised in Mumbai. Author of two works of fiction, <em>The Afflictions</em> and <em>Night Theater</em>, he is a physician-scientist at the University of Pennsylvania, where he treats patients with leukemia and researches the disease. His works have been translated into several foreign languages."
Virginia DeMarce,"https://columbus2020nasfic.org/assets/images/virginia-demarce.jpg","Virginia DeMarce, a retired historian, has been writing in Eric Flint’s 1632 universe since 2004. She has co-authored three books with Eric and one solo title from Baen, two from Ring of Fire Press, and had stories in anthologies and the Grantville Gazette. Two more books are forthcoming from Ring of Fire Press."
W.A. (Bill) Thomasson,"https://columbus2020nasfic.org/assets/images/bill-thomason-1.jpg","Bill Thomasson, a retired biochemist/medical writer now working on a sword-and-sorcery novel, has a broad interest in all aspects of science and the future. This includes both social and technological aspects, which are strongly interdependent. Bill, who has been legally blind for the past 20 years, is also active in the disability community and has worked Access at a number of Worldcons."
Wendy Van Camp,"https://columbus2020nasfic.org/assets/images/wendy-vancamp.jpg","Wendy Van Camp is an author, poet, and illustrator. Her writing blog “No Wasted Ink” features essays about the craft of writing, poetry, and author interviews. Wendy’s short stories and poems have appeared in science fiction magazines such as “Quantum Visions”, “Scifaikuest”, and “Far Horizons”. She is the poet and illustrator of The Planets: a scifaiku poetry collection which is nominated for a 2020 Elgin Award. Her books can be found on Amazon. Her illustrated poetry art prints can be found on etsy."
"Whitney ""Strix"" Beltrán","https://columbus2020nasfic.org/assets/images/whitney-beltran.png","Strix is an award winning narrative designer, myth scholar with a Masters, diversity and inclusion advocate, freediver, ukulele player, adventure beast, and fearless leader. Co-author of <em>Bluebeard’s Bride</em> with many other credits in tabletop RPGs, writer on <em>State of Decay 2</em> and <em>Raccoon Lagoon</em>, Narrative Lead on <em>Beyond Blue</em> and <em>HoloVista</em>. Currently she is Project Narrative Director on an unannounced AAA title at Hidden Path Entertainment."
William S. Higgins,"https://columbus2020nasfic.org/assets/images/bill-higgins.jpg","William S. Higgins works as a radiation safety physicist at Fermilab, where he is involved in the transport of high-energy particle beams. As a volunteer in NASA’s Solar System Ambassador program, he speaks and writes about spaceflight, astronomy, and other topics in science and technology. He plays baritone ukulele, if not skillfully, then with enthusiasm. Long active in Chicago’s fandom, he researches the intertwined history of SF and science. He’s a member of General Technics, a fan group devoted to do-it-yourself technology."
